CD_GCMUN;NM_MUN
4208955;JARDINÓPOLIS
4209177;JUPIÁ
4209458;LAJEADO GRANDE
4210506;MARAVILHA
4210555;MAREMA
4210902;MODELO
4211009;MONDAÍ
4211405;NOVA ERECHIM
4211454;NOVA ITABERABA
4211652;NOVO HORIZONTE
4211850;OURO VERDE
4211876;PAIAL
4212007;PALMA SOLA
4212106;PALMITOS
4212239;PARAÍSO
4212908;PINHALZINHO
4213153;PLANALTO ALEGRE
4213401;PONTE SERRADA
4214151;PRINCESA
4214201;QUILOMBO
4215075;RIQUEZA
4215208;ROMELÂNDIA
4215356;SALTINHO
4215554;SANTA HELENA
4215687;SANTA TEREZINHA DO PROGRESSO
4215695;SANTIAGO DO SUL
4215752;SÃO BERNARDINO
4216008;SÃO CARLOS
4216107;SÃO DOMINGOS
4216255;SÃO JOÃO DO OESTE
4216701;SÃO JOSÉ DO CEDRO
4216909;SÃO LOURENÇO DO OESTE
4217154;SÃO MIGUEL DA BOA VISTA
4217204;SÃO MIGUEL DO OESTE
4322376;UNISTALDA
4322400;URUGUAIANA
4323101;VICENTE DUTRA
4323457;VILA NOVA DO SUL
4323507;VISTA ALEGRE
4323705;VISTA GAÚCHA
4323754;VITÓRIA DAS MISSÕES
5000609;AMAMBAI
5000708;ANASTÁCIO
5000906;ANTÔNIO JOÃO
5001102;AQUIDAUANA
5001243;ARAL MOREIRA
5002100;BELA VISTA
5002159;BODOQUENA
5002209;BONITO
5002407;CAARAPÓ
5002803;CARACOL
5003157;CORONEL SAPUCAIA
5003207;CORUMBÁ
5003454;DEODÁPOLIS
4217303;SAUDADES
4217501;SEARA
4217550;SERRA ALTA
4217758;SUL BRASIL
4217956;TIGRINHOS
4218756;TUNÁPOLIS
4218855;UNIÃO DO OESTE
4219101;VARGEÃO
4219507;XANXERÊ
4219606;XAVANTINA
4219705;XAXIM
4300001;LAGOA MIRIM
4300002;LAGOA DOS PATOS
4300034;ACEGUÁ
4300208;AJURICABA
4300307;ALECRIM
4300406;ALEGRETE
4300455;ALEGRIA
4300471;ALMIRANTE TAMANDARÉ DO SUL
4300505;ALPESTRE
4300646;AMETISTA DO SUL
4300901;ARATIBA
4301073;ARROIO DO PADRE
4301305;ARROIO GRANDE
4301503;AUGUSTO PESTANA
4301602;BAGÉ
4301701;BARÃO DE COTEGIPE
4301859;BARRA DO GUARITA
4301875;BARRA DO QUARAÍ
4301925;BARRA DO RIO AZUL
4301958;BARRA FUNDA
4302055;BENJAMIN CONSTANT DO SUL
4302154;BOA VISTA DAS MISSÕES
4302204;BOA VISTA DO BURICÁ
4302220;BOA VISTA DO CADEADO
4302378;BOM PROGRESSO
4302501;BOSSOROCA
4302584;BOZANO
4302600;BRAGA
4302808;CAÇAPAVA DO SUL
4302907;CACEQUI
4303301;CAIBATÉ
4303400;CAIÇARA
4303707;CAMPINA DAS MISSÕES
4303806;CAMPINAS DO SUL
4304002;CAMPO NOVO
4304309;CÂNDIDO GODÓI
4304358;CANDIOTA
4304507;CANGUÇU
4304655;CAPÃO DO CIPÓ
4304663;CAPÃO DO LEÃO
4304705;CARAZINHO
4305009;CATUÍPE
4305124;CERRITO
4305157;CERRO GRANDE
4305207;CERRO LARGO
4305306;CHAPADA
4305405;CHIAPETTA
4305439;CHUÍ
4305702;CONDOR
4305801;CONSTANTINA
4305850;COQUEIROS DO SUL
4305871;CORONEL BARROS
4305900;CORONEL BICACO
4306007;CRISSIUMAL
4306072;CRISTAL DO SUL
4306106;CRUZ ALTA
4306130;CRUZALTENSE
4306320;DERRUBADAS
4306353;DEZESSEIS DE NOVEMBRO
4306429;DOIS IRMÃOS DAS MISSÕES
4306601;DOM PEDRITO
4306734;DOUTOR MAURÍCIO CARDOSO
4306908;ENCRUZILHADA DO SUL
4306924;ENGENHO VELHO
4306932;ENTRE-IJUÍS
4306957;ENTRE RIOS DO SUL
4307005;ERECHIM
4307104;HERVAL
4307203;ERVAL GRANDE
4307302;ERVAL SECO
4307450;ESPERANÇA DO SUL
4307831;EUGÊNIO DE CASTRO
4308052;FAXINALZINHO
4308508;FREDERICO WESTPHALEN
4308656;GARRUCHOS
4309001;GIRUÁ
4309126;GRAMADO DOS LOUREIROS
4309506;GUARANI DAS MISSÕES
4309605;HORIZONTINA
4309654;HULHA NEGRA
4309704;HUMAITÁ
4310207;IJUÍ
4310405;INDEPENDÊNCIA
4310413;INHACORÁ
4310504;IRAÍ
4310553;ITACURUBI
4310603;ITAQUI
4310702;ITATIBA DO SUL
4310850;JABOTICABA
4310900;JACUTINGA
4311007;JAGUARÃO
4311106;JAGUARI
4311155;JÓIA
4311429;LAJEADO DO BUGRE
4311502;LAVRAS DO SUL
4311601;LIBERATO SALZANO
4311718;MAÇAMBARÁ
4311759;MANOEL VIANA
4312179;MATO QUEIMADO
4312302;MIRAGUAÍ
4312450;MORRO REDONDO
4312708;NONOAI
4312955;NOVA BOA VISTA
4313011;NOVA CANDELÁRIA
4313037;NOVA ESPERANÇA DO SUL
4313334;NOVA RAMADA
4313425;NOVO MACHADO
4313441;NOVO TIRADENTES
4313466;NOVO XINGU
4313490;NOVO BARREIRO
4313706;PALMEIRA DAS MISSÕES
4313805;PALMITINHO
4313904;PANAMBI
4314134;PAULO BENTO
4314175;PEDRAS ALTAS
4314209;PEDRO OSÓRIO
4314308;PEJUÇARA
4314407;PELOTAS
4314456;PINHAL
4314498;PINHEIRINHO DO VALE
4314506;PINHEIRO MACHADO
4314555;PIRAPÓ
4314605;PIRATINI
4314704;PLANALTO
4314779;PONTÃO
4314787;PONTE PRETA
4315008;PORTO LUCENA
4315057;PORTO MAUÁ
4315073;PORTO VERA CRUZ
4315107;PORTO XAVIER
4315305;QUARAÍ
4315313;QUATRO IRMÃOS
4315404;REDENTORA
4315552;RIO DOS ÍNDIOS
4315602;RIO GRANDE
4315909;RODEIO BONITO
4315958;ROLADOR
4316105;RONDA ALTA
4316204;RONDINHA
4316303;ROQUE GONZALES
4316402;ROSÁRIO DO SUL
4316428;SAGRADA FAMÍLIA
4316436;SALDANHA MARINHO
4316477;SALVADOR DAS MISSÕES
4316709;SANTA BÁRBARA DO SUL
4316972;SANTA MARGARIDA DO SUL
4317004;SANTANA DA BOA VISTA
4317103;SANT'ANA DO LIVRAMENTO
4317202;SANTA ROSA
4317301;SANTA VITÓRIA DO PALMAR
4317400;SANTIAGO
4317509;SANTO ÂNGELO
4317707;SANTO ANTÔNIO DAS MISSÕES
4317806;SANTO AUGUSTO
4317905;SANTO CRISTO
4318002;SÃO BORJA
4318101;SÃO FRANCISCO DE ASSIS
4318309;SÃO GABRIEL
4318457;SÃO JOSÉ DAS MISSÕES
4318499;SÃO JOSÉ DO INHACORÁ
4318507;SÃO JOSÉ DO NORTE
4318903;SÃO LUIZ GONZAGA
4319109;SÃO MARTINHO
4319158;SÃO MIGUEL DAS MISSÕES
4319208;SÃO NICOLAU
4319307;SÃO PAULO DAS MISSÕES
4319364;SÃO PEDRO DAS MISSÕES
4319372;SÃO PEDRO DO BUTIÁ
4319604;SÃO SEPÉ
4319703;SÃO VALENTIM
4319737;SÃO VALÉRIO DO SUL
4319802;SÃO VICENTE DO SUL
4320107;SARANDI
4320206;SEBERI
4320230;SEDE NOVA
4320321;SENADOR SALGADO FILHO
4320503;SERTÃO
4320578;SETE DE SETEMBRO
4321329;TAQUARUÇU DO SUL
4321402;TENENTE PORTELA
4321477;TIRADENTES DO SUL
4321808;TRÊS DE MAIO
4321857;TRÊS PALMEIRAS
4321907;TRÊS PASSOS
4321956;TRINDADE DO SUL
4322103;TUCUNDUVA
4322202;TUPANCIRETÃ
4322301;TUPARENDI
4322343;UBIRETAMA
5003488;DOIS IRMÃOS DO BURITI
5003504;DOURADINA
5003702;DOURADOS
5003751;ELDORADO
5003801;FÁTIMA DO SUL
5004007;GLÓRIA DE DOURADOS
5004106;GUIA LOPES DA LAGUNA
5004304;IGUATEMI
5004502;ITAPORÃ
5004601;ITAQUIRAÍ
5004809;JAPORÃ
5005004;JARDIM
5005103;JATEÍ
5005152;JUTI
5005202;LADÁRIO
5005251;LAGUNA CARAPÃ
5005400;MARACAJU
5005608;MIRANDA
5005681;MUNDO NOVO
5005707;NAVIRAÍ
5005806;NIOAQUE
5006002;NOVA ALVORADA DO SUL
5006259;NOVO HORIZONTE DO SUL
5006358;PARANHOS
5006606;PONTA PORÃ
5006903;PORTO MURTINHO
5007208;RIO BRILHANTE
5007703;SETE QUEDAS
5007901;SIDROLÂNDIA
5007950;TACURU
5007976;TAQUARUSSU
5008404;VICENTINA
5101258;ARAPUTANGA
5101605;BARÃO DE MELGAÇO
5101704;BARRA DO BUGRES
5102504;CÁCERES
5102686;CAMPOS DE JÚLIO
5103304;COMODORO
5103361;CONQUISTA D'OESTE
5103437;CURVELÂNDIA
5103809;FIGUEIRÓPOLIS D'OESTE
5103957;GLÓRIA D'OESTE
5104500;INDIAVAÍ
5105002;JAURU
5105234;LAMBARI D'OESTE
5105507;VILA BELA DA SANTÍSSIMA TRINDADE
5105622;MIRASSOL D'OESTE
5106109;NOSSA SENHORA DO LIVRAMENTO
5106182;NOVA LACERDA
5106505;POCONÉ
5106752;PONTES E LACERDA
5106828;PORTO ESPERIDIÃO
5106851;PORTO ESTRELA
5107107;SÃO JOSÉ DOS QUATRO MARCOS
5107156;RESERVA DO CABAÇAL
5107206;RIO BRANCO
5107750;SALTO DO CÉU
5107875;SAPEZAL
5107958;TANGARÁ DA SERRA
5108352;VALE DE SÃO DOMINGOS
